source,target,ksao,value,origin
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Business Intelligence professional,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Infraestructure engineer,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Computer Systems Analyst,Quantitative Skills,Skill,1,Text
Software infrastructure architect,Quantitative Skills,Skill,1,Text
Software infrastructure architect,Quantitative Skills,Skill,1,Text
